2019-09-23 10:19:16 install coreutils:armhf <none> 8.28-1ubuntu1
2019-09-23 10:19:16 status half-installed coreutils:armhf 8.28-1ubuntu1
2019-09-23 10:19:17 status unpacked coreutils:armhf 8.28-1ubuntu1
2019-09-23 10:19:17 status unpacked coreutils:armhf 8.28-1ubuntu1
2019-09-23 10:19:17 install dash:armhf <none> 0.5.8-2.10
2019-09-23 10:19:17 status half-installed dash:armhf 0.5.8-2.10
2019-09-23 10:19:17 status unpacked dash:armhf 0.5.8-2.10
2019-09-23 10:19:17 status unpacked dash:armhf 0.5.8-2.10
2019-09-23 10:19:18 upgrade debconf:all 1.5.66 1.5.66
2019-09-23 10:19:18 status half-configured debconf:all 1.5.66
2019-09-23 10:19:18 status unpacked debconf:all 1.5.66
2019-09-23 10:19:18 status half-installed debconf:all 1.5.66
2019-09-23 10:19:18 status half-installed debconf:all 1.5.66
2019-09-23 10:19:18 status unpacked debconf:all 1.5.66
2019-09-23 10:19:18 status unpacked debconf:all 1.5.66
2019-09-23 10:19:18 install debianutils:armhf <none> 4.8.4
2019-09-23 10:19:18 status half-installed debianutils:armhf 4.8.4
2019-09-23 10:19:19 status unpacked debianutils:armhf 4.8.4
2019-09-23 10:19:19 status unpacked debianutils:armhf 4.8.4
2019-09-23 10:19:19 install diffutils:armhf <none> 1:3.6-1
2019-09-23 10:19:19 status half-installed diffutils:armhf 1:3.6-1
2019-09-23 10:19:19 status unpacked diffutils:armhf 1:3.6-1
2019-09-23 10:19:19 status unpacked diffutils:armhf 1:3.6-1
2019-09-23 10:19:19 upgrade dpkg:armhf 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2019-09-23 10:19:19 status half-configured dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:19 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:19 status half-installed dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:20 status half-installed dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:20 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:20 status unpacked dpkg:armhf 1.19.0.5ubuntu2
2019-09-23 10:19:20 install e2fsprogs:armhf <none> 1.44.1-1
2019-09-23 10:19:20 status half-installed e2fsprogs:armhf 1.44.1-1
2019-09-23 10:19:20 status unpacked e2fsprogs:armhf 1.44.1-1
2019-09-23 10:19:20 status unpacked e2fsprogs:armhf 1.44.1-1
2019-09-23 10:19:20 install fdisk:armhf <none> 2.31.1-0.4ubuntu3
2019-09-23 10:19:20 status half-installed fdisk:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:21 status unpacked fdisk:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:21 status unpacked fdisk:armhf 2.31.1-0.4ubuntu3
2019-09-23 10:19:21 install findutils:armhf <none> 4.6.0+git+20170828-2
2019-09-23 10:19:21 status half-installed findutils:armhf 4.6.0+git+20170828-2
2019-09-23 10:19:21 status unpacked findutils:armhf 4.6.0+git+20170828-2
